"Particular","Sub-category","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2012-13"
"Postcards","Total","34412.00","25086.00","20286.00","21980.00","18984.00","16401.00","15829.85","14943.00","15454.00","15641.28","14684.58","13456.31"
"Letters","Total","86878.24","70017.39","58627.74","53902.73","43672.50","38339.99","38768.74","36655.84","37397.81","35748.10","35987.28","35576.65"
"Letters","Speed Posts","377.78","528.06","634.07","826.86","959.78","1085.93","1286.00","1772.59","2114.18","2408.33","2745.31","3919.50"
"Letters","Registered ","1983.46","1735.20","1677.87","1650.76","1668.44","1629.35","1714.78","1553.67","1520.88","1511.17","1599.51","1687.39"
"Letters","Insured","69.48","69.23","71.26","81.13","79.52","76.89","76.60","73.55","72.82","73.74","9.00","9.41"
"Letters","Value Payable ","59.52","57.30","46.54","38.98","34.76","26.82","27.77","29.03","28.93","32.36","29.68","28.27"
"Letters","Unregistered","84388.00","67627.60","56198.00","51305.00","40930.00","35521.00","35663.59","33227.00","33661.00","31722.50","31643.78","29932.08"
"Newspapers","Total","9070.00","6223.00","5249.00","4633.00","4661.00","4969.00","4866.11","4989.00","5100.00","4869.45","5076.10","5067.57"
"Parcels","Total","3735.31","2820.54","1597.13","1183.79","1156.91","1060.75","1057.34","1117.01","1097.90","1172.89","1040.79","980.97"
"Parcels","Express Posts","23.82","42.78","57.62","67.27","65.81","55.74","56.00","63.94","71.86","66.62","81.76","100.04"
"Parcels","Registered ","274.33","244.90","233.71","220.09","233.63","236.03","227.68","226.69","229.27","232.14","100.93","101.95"
"Parcels","Insured","32.26","30.00","28.34","30.74","27.38","24.95","26.51","25.75","25.85","25.58","9.82","10.25"
"Parcels","Value Payable","32.90","35.56","34.46","30.69","27.09","25.03","26.66","22.63","21.92","21.78","14.11","19.76"
"Parcels","Unregistered","3372.00","0.00","1243.00","835.00","803.00","719.00","720.49","778.00","749.00","826.77","834.17","748.97"
"Packets","Total","8339.00","6731.50","5874.02","5546.54","6153.94","7377.50","7591.39","8043.12","8546.07","8466.63","9393.19","8636.68"
"Packets","Registered ","0.00","0.00","42.58","52.78","39.07","37.91","41.94","40.60","59.23","41.71","34.47","35.95"
"Packets","Value Payable","0.00","0.00","89.44","30.76","31.87","28.59","31.13","26.52","23.84","19.72","21.20","18.48"
"Packets","Unregistered","8339.00","6731.50","5742.00","5463.00","6083.00","7311.00","7518.32","7976.00","8463.00","8405.20","9337.52","8582.25"
"All Categories","Total","142434.55","110878.43","91633.89","87246.06","74628.35","68148.24","68113.43","65747.97","67595.78","65898.35","66181.94","63718.18"
